image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
20_slice001_frame001	train	scaled_masks	imagenetTransferLearn	64870	0	30	0	297	76	12	1	250
23_slice004_frame016	train	scaled_masks	imagenetTransferLearn	64219	0	35	0	759	21	10	35	457
51_slice013_frame007	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
28_slice001_frame018	test	scaled_masks	imagenetTransferLearn	64799	0	45	0	373	11	15	30	263
43_slice001_frame010	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
22_slice014_frame013	train	scaled_masks	imagenetTransferLearn	63937	0	52	0	942	35	40	62	468
19_slice001_frame005	val	scaled_masks	imagenetTransferLearn	64865	0	94	0	104	29	18	4	422
53_slice006_frame023	train	scaled_masks	imagenetTransferLearn	63337	0	99	0	1395	47	13	76	569
50_slice015_frame022	train	scaled_masks	imagenetTransferLearn	63511	0	76	0	1100	33	14	17	785
30_slice004_frame013	val	scaled_masks	imagenetTransferLearn	64410	0	42	26	509	194	156	7	192
20_slice001_frame007	train	scaled_masks	imagenetTransferLearn	65047	0	27	0	0	0	60	19	383
31_slice001_frame009	train	scaled_masks	imagenetTransferLearn	65156	0	43	0	105	0	34	95	103
35_slice011_frame003	val	scaled_masks	imagenetTransferLearn	63503	0	46	0	1219	11	24	43	690
55_slice003_frame000	train	scaled_masks	imagenetTransferLearn	63873	0	52	0	945	18	36	61	551
32_slice008_frame018	train	scaled_masks	imagenetTransferLearn	63399	0	71	0	1425	98	10	7	526
30_slice012_frame008	val	scaled_masks	imagenetTransferLearn	64027	0	1	0	772	36	186	81	433
30_slice000_frame002	val	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
51_slice010_frame008	train	scaled_masks	imagenetTransferLearn	63893	0	48	0	814	68	46	5	662
50_slice000_frame001	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
52_slice012_frame016	train	scaled_masks	imagenetTransferLearn	63101	0	43	0	1470	16	66	38	802
21_slice012_frame004	train	scaled_masks	imagenetTransferLearn	63985	0	80	0	687	1	4	82	697
19_slice012_frame019	val	scaled_masks	imagenetTransferLearn	62821	0	24	0	1530	46	82	51	982
53_slice006_frame022	train	scaled_masks	imagenetTransferLearn	63376	0	85	0	1400	58	40	26	551
36_slice003_frame001	val	scaled_masks	imagenetTransferLearn	64321	0	172	0	655	2	0	120	266
32_slice008_frame009	train	scaled_masks	imagenetTransferLearn	63678	0	220	0	1071	98	1	71	397
22_slice004_frame008	train	scaled_masks	imagenetTransferLearn	64612	0	50	0	329	19	4	11	511
50_slice000_frame000	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
21_slice015_frame002	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
31_slice010_frame002	train	scaled_masks	imagenetTransferLearn	63625	0	34	0	1009	7	38	61	762
22_slice007_frame024	train	scaled_masks	imagenetTransferLearn	63861	0	59	0	1122	16	18	19	441
26_slice004_frame002	test	scaled_masks	imagenetTransferLearn	63755	0	108	0	953	13	79	123	505
55_slice015_frame003	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
51_slice008_frame012	train	scaled_masks	imagenetTransferLearn	63830	0	44	0	916	30	30	35	651
19_slice010_frame005	val	scaled_masks	imagenetTransferLearn	63114	0	91	0	900	4	65	133	1229
19_slice010_frame014	val	scaled_masks	imagenetTransferLearn	62848	0	136	0	1553	5	24	113	857
23_slice013_frame011	train	scaled_masks	imagenetTransferLearn	63429	0	50	0	1285	26	25	44	677
22_slice012_frame019	train	scaled_masks	imagenetTransferLearn	63549	0	48	0	1325	10	19	27	558
23_slice006_frame007	train	scaled_masks	imagenetTransferLearn	63960	0	85	0	737	20	22	39	673
50_slice013_frame002	train	scaled_masks	imagenetTransferLearn	63597	0	76	0	995	21	20	69	758
36_slice011_frame020	val	scaled_masks	imagenetTransferLearn	63796	0	129	0	1068	18	25	44	456
20_slice000_frame011	train	scaled_masks	imagenetTransferLearn	65536	0	0	0	0	0	0	0	0
22_slice002_frame011	train	scaled_masks	imagenetTransferLearn	64973	0	7	0	185	48	54	0	269
17_slice008_frame007	train	scaled_masks	imagenetTransferLearn	63941	0	32	0	731	64	13	13	742
22_slice011_frame007	train	scaled_masks	imagenetTransferLearn	64039	0	63	0	774	11	22	36	591
22_slice010_frame013	train	scaled_masks	imagenetTransferLearn	63733	0	64	0	1131	18	16	32	542
22_slice009_frame024	train	scaled_masks	imagenetTransferLearn	63583	0	112	0	1343	8	10	53	427
52_slice003_frame009	train	scaled_masks	imagenetTransferLearn	64671	0	11	0	179	0	47	76	552
55_slice001_frame004	train	scaled_masks	imagenetTransferLearn	64401	0	14	0	465	15	27	23	591
17_slice004_frame024	train	scaled_masks	imagenetTransferLearn	63904	0	90	0	1041	18	12	23	448
36_slice009_frame022	val	scaled_masks	imagenetTransferLearn	63593	0	115	0	1253	5	8	75	487
