image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
27_slice003_frame018	test	scaled_masks	scaled_masks_TR	64293	0	97	0	775	24	10	50	287
26_slice002_frame010	test	scaled_masks	scaled_masks_TR	64628	0	15	0	309	90	42	14	438
27_slice011_frame007	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice007_frame002	test	scaled_masks	scaled_masks_TR	63378	0	32	0	1300	55	101	71	599
27_slice000_frame012	test	scaled_masks	scaled_masks_TR	64985	0	17	0	259	40	5	15	215
27_slice005_frame004	test	scaled_masks	scaled_masks_TR	63898	0	3	0	848	16	153	47	571
27_slice006_frame007	test	scaled_masks	scaled_masks_TR	63875	0	56	0	800	36	59	60	650
28_slice003_frame016	test	scaled_masks	scaled_masks_TR	64093	0	245	0	815	20	0	39	324
28_slice012_frame012	test	scaled_masks	scaled_masks_TR	63644	0	40	0	1102	0	70	133	547
27_slice010_frame004	test	scaled_masks	scaled_masks_TR	63674	0	34	0	922	128	62	24	692
26_slice009_frame003	test	scaled_masks	scaled_masks_TR	62895	0	113	0	1503	27	125	35	838
28_slice002_frame015	test	scaled_masks	scaled_masks_TR	64494	0	96	0	604	57	46	2	237
28_slice006_frame001	test	scaled_masks	scaled_masks_TR	63471	0	158	0	1302	59	0	24	522
26_slice000_frame007	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
26_slice011_frame014	test	scaled_masks	scaled_masks_TR	62955	0	140	0	1284	5	17	203	932
27_slice007_frame017	test	scaled_masks	scaled_masks_TR	63321	0	200	0	1396	21	13	62	523
26_slice004_frame015	test	scaled_masks	scaled_masks_TR	63917	0	123	0	979	36	19	34	428
27_slice012_frame016	test	scaled_masks	scaled_masks_TR	63493	0	81	0	1223	43	13	29	654
27_slice011_frame006	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
28_slice012_frame005	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
26_slice006_frame007	test	scaled_masks	scaled_masks_TR	63630	0	23	0	907	10	107	111	748
26_slice006_frame012	test	scaled_masks	scaled_masks_TR	63554	0	53	0	1017	11	85	31	785
26_slice013_frame022	test	scaled_masks	scaled_masks_TR	62806	0	130	0	1593	19	25	90	873
28_slice003_frame009	test	scaled_masks	scaled_masks_TR	64352	0	30	0	325	0	43	176	610
26_slice007_frame006	test	scaled_masks	scaled_masks_TR	63500	0	26	0	1089	93	67	17	744
27_slice011_frame003	test	scaled_masks	scaled_masks_TR	63650	0	41	0	1057	3	63	81	641
27_slice003_frame019	test	scaled_masks	scaled_masks_TR	64226	0	40	0	770	7	93	55	345
26_slice007_frame009	test	scaled_masks	scaled_masks_TR	63566	0	10	0	875	22	167	26	870
28_slice013_frame003	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice000_frame006	test	scaled_masks	scaled_masks_TR	65055	121	360	0	0	0	0	0	0
28_slice008_frame011	test	scaled_masks	scaled_masks_TR	63497	0	108	0	1297	10	3	77	544
27_slice003_frame006	test	scaled_masks	scaled_masks_TR	64441	0	8	0	299	7	147	95	539
26_slice003_frame016	test	scaled_masks	scaled_masks_TR	64088	0	40	0	837	60	75	17	419
26_slice006_frame009	test	scaled_masks	scaled_masks_TR	63684	0	4	0	802	15	123	99	809
28_slice005_frame010	test	scaled_masks	scaled_masks_TR	63955	0	69	0	897	23	47	31	514
26_slice011_frame007	test	scaled_masks	scaled_masks_TR	63439	0	22	0	1022	198	141	11	703
27_slice010_frame006	test	scaled_masks	scaled_masks_TR	63967	0	113	0	773	105	7	20	551
28_slice009_frame010	test	scaled_masks	scaled_masks_TR	63575	0	167	0	1153	16	13	121	491
26_slice010_frame011	test	scaled_masks	scaled_masks_TR	63412	0	29	0	919	64	83	8	1021
28_slice007_frame019	test	scaled_masks	scaled_masks_TR	63312	0	245	0	1344	3	7	149	476
27_slice005_frame003	test	scaled_masks	scaled_masks_TR	63852	0	20	0	983	49	105	56	471
26_slice014_frame011	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice011_frame018	test	scaled_masks	scaled_masks_TR	63205	10	251	0	1366	35	3	193	473
27_slice000_frame019	test	scaled_masks	scaled_masks_TR	64915	0	101	0	211	0	1	110	198
26_slice001_frame020	test	scaled_masks	scaled_masks_TR	64599	0	38	0	447	101	104	8	239
28_slice007_frame014	test	scaled_masks	scaled_masks_TR	63361	0	239	0	1369	58	2	53	454
27_slice008_frame012	test	scaled_masks	scaled_masks_TR	63331	0	100	0	1467	18	27	68	525
26_slice008_frame015	test	scaled_masks	scaled_masks_TR	63127	0	81	0	1549	90	50	24	615
27_slice002_frame003	test	scaled_masks	scaled_masks_TR	64631	0	51	0	417	17	64	94	262
27_slice008_frame011	test	scaled_masks	scaled_masks_TR	63420	5	177	0	1356	80	9	37	452
27_slice011_frame005	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
26_slice010_frame005	test	scaled_masks	scaled_masks_TR	63098	0	53	0	1299	80	90	9	907
26_slice011_frame004	test	scaled_masks	scaled_masks_TR	63009	0	8	0	1376	311	222	6	604
26_slice004_frame023	test	scaled_masks	scaled_masks_TR	63781	0	58	0	1103	64	25	27	478
26_slice010_frame014	test	scaled_masks	scaled_masks_TR	63119	0	92	0	1363	32	69	68	793
27_slice002_frame013	test	scaled_masks	scaled_masks_TR	64492	0	164	0	586	2	7	92	193
27_slice005_frame017	test	scaled_masks	scaled_masks_TR	63788	0	94	0	1187	58	12	13	384
27_slice012_frame015	test	scaled_masks	scaled_masks_TR	63491	0	93	0	1232	61	24	27	608
28_slice011_frame009	test	scaled_masks	scaled_masks_TR	64052	0	231	0	711	2	9	118	413
26_slice004_frame004	test	scaled_masks	scaled_masks_TR	64057	0	53	0	878	23	12	21	492
26_slice008_frame013	test	scaled_masks	scaled_masks_TR	63387	0	16	0	1159	58	106	13	797
28_slice011_frame014	test	scaled_masks	scaled_masks_TR	63425	0	211	0	1336	11	0	64	489
26_slice005_frame024	test	scaled_masks	scaled_masks_TR	63454	0	30	0	1412	49	57	3	531
26_slice000_frame020	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice002_frame008	test	scaled_masks	scaled_masks_TR	64659	0	3	0	196	0	97	123	458
27_slice010_frame015	test	scaled_masks	scaled_masks_TR	63182	0	165	0	1484	33	0	35	637
28_slice001_frame002	test	scaled_masks	scaled_masks_TR	64604	0	201	0	371	26	0	19	315
27_slice003_frame003	test	scaled_masks	scaled_masks_TR	64384	0	32	0	635	28	38	40	379
27_slice011_frame019	test	scaled_masks	scaled_masks_TR	63348	0	110	0	1353	17	34	139	535
27_slice013_frame006	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
28_slice009_frame019	test	scaled_masks	scaled_masks_TR	63063	0	201	0	1453	15	29	116	659
28_slice014_frame010	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
26_slice008_frame005	test	scaled_masks	scaled_masks_TR	63252	0	45	0	1207	50	57	31	894
27_slice003_frame001	test	scaled_masks	scaled_masks_TR	64246	0	26	0	798	26	31	28	381
27_slice011_frame011	test	scaled_masks	scaled_masks_TR	63389	0	91	0	1246	36	17	89	668
27_slice003_frame004	test	scaled_masks	scaled_masks_TR	64412	0	11	0	524	134	111	1	343
26_slice003_frame008	test	scaled_masks	scaled_masks_TR	64406	0	10	0	477	27	63	38	515
26_slice012_frame000	test	scaled_masks	scaled_masks_TR	62736	0	61	0	1702	21	44	88	884
27_slice003_frame002	test	scaled_masks	scaled_masks_TR	64281	0	0	0	663	33	103	85	371
28_slice005_frame004	test	scaled_masks	scaled_masks_TR	63847	0	33	0	895	17	70	92	582
26_slice001_frame014	test	scaled_masks	scaled_masks_TR	64762	0	154	0	383	22	7	52	156
27_slice013_frame002	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
26_slice005_frame011	test	scaled_masks	scaled_masks_TR	63802	0	13	0	860	93	93	7	668
26_slice003_frame022	test	scaled_masks	scaled_masks_TR	64003	0	54	0	928	74	79	16	382
28_slice007_frame016	test	scaled_masks	scaled_masks_TR	63348	0	219	0	1394	31	2	70	472
28_slice014_frame011	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice012_frame002	test	scaled_masks	scaled_masks_TR	63486	0	50	0	1257	36	112	71	524
26_slice006_frame017	test	scaled_masks	scaled_masks_TR	63324	0	16	0	1432	29	42	18	675
27_slice001_frame009	test	scaled_masks	scaled_masks_TR	64759	0	94	0	117	0	41	320	205
27_slice004_frame007	test	scaled_masks	scaled_masks_TR	64210	0	17	0	493	33	180	58	545
28_slice009_frame015	test	scaled_masks	scaled_masks_TR	63225	0	193	0	1446	51	0	33	588
27_slice004_frame010	test	scaled_masks	scaled_masks_TR	64107	0	62	0	856	47	26	46	392
28_slice013_frame014	test	scaled_masks	scaled_masks_TR	64061	0	11	0	942	28	48	26	420
26_slice004_frame009	test	scaled_masks	scaled_masks_TR	64226	0	29	0	557	28	56	23	617
26_slice013_frame018	test	scaled_masks	scaled_masks_TR	62963	0	33	0	1542	62	73	36	827
26_slice001_frame002	test	scaled_masks	scaled_masks_TR	64607	0	3	0	476	46	112	8	284
27_slice004_frame016	test	scaled_masks	scaled_masks_TR	63966	0	121	0	1004	40	1	35	369
26_slice002_frame005	test	scaled_masks	scaled_masks_TR	64533	0	61	0	534	67	12	2	327
26_slice010_frame000	test	scaled_masks	scaled_masks_TR	62728	0	52	0	1661	24	128	104	839
26_slice014_frame015	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice004_frame002	test	scaled_masks	scaled_masks_TR	64058	0	53	0	932	35	17	43	398
28_slice006_frame000	test	scaled_masks	scaled_masks_TR	63443	0	217	0	1225	11	6	141	493
27_slice011_frame016	test	scaled_masks	scaled_masks_TR	63319	0	129	0	1348	15	3	109	613
27_slice010_frame002	test	scaled_masks	scaled_masks_TR	63328	0	60	0	1411	47	52	66	572
27_slice004_frame019	test	scaled_masks	scaled_masks_TR	64032	0	26	0	911	35	42	67	423
28_slice002_frame018	test	scaled_masks	scaled_masks_TR	64441	0	152	0	611	55	5	19	253
26_slice012_frame015	test	scaled_masks	scaled_masks_TR	63068	0	47	0	1296	8	58	65	994
28_slice000_frame004	test	scaled_masks	scaled_masks_TR	65005	0	2	5	95	131	162	4	132
27_slice010_frame017	test	scaled_masks	scaled_masks_TR	63258	0	75	0	1492	24	11	40	636
26_slice001_frame001	test	scaled_masks	scaled_masks_TR	64608	0	45	0	457	12	59	65	290
26_slice005_frame019	test	scaled_masks	scaled_masks_TR	63481	0	46	0	1361	42	24	13	569
27_slice008_frame002	test	scaled_masks	scaled_masks_TR	63307	0	26	0	1425	20	52	106	600
28_slice003_frame007	test	scaled_masks	scaled_masks_TR	64365	0	7	0	367	4	70	57	666
26_slice004_frame000	test	scaled_masks	scaled_masks_TR	63803	0	50	0	996	1	125	110	451
26_slice013_frame020	test	scaled_masks	scaled_masks_TR	62918	0	57	0	1510	41	86	29	895
27_slice005_frame001	test	scaled_masks	scaled_masks_TR	63692	0	46	0	1184	56	62	54	442
26_slice001_frame009	test	scaled_masks	scaled_masks_TR	64905	0	13	0	212	65	35	20	286
28_slice012_frame007	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
26_slice013_frame005	test	scaled_masks	scaled_masks_TR	63428	9	165	7	1211	329	101	29	257
27_slice007_frame004	test	scaled_masks	scaled_masks_TR	63517	0	13	0	1042	16	126	125	697
27_slice001_frame004	test	scaled_masks	scaled_masks_TR	64759	0	38	0	289	5	73	107	265
27_slice013_frame019	test	scaled_masks	scaled_masks_TR	63522	0	85	0	1227	49	95	101	457
28_slice000_frame003	test	scaled_masks	scaled_masks_TR	64883	0	59	11	97	158	130	5	193
26_slice008_frame003	test	scaled_masks	scaled_masks_TR	63102	0	35	0	1473	54	48	9	815
28_slice013_frame015	test	scaled_masks	scaled_masks_TR	63951	0	34	0	978	75	69	6	423
26_slice009_frame011	test	scaled_masks	scaled_masks_TR	63437	0	25	0	991	35	189	7	852
26_slice011_frame003	test	scaled_masks	scaled_masks_TR	62949	0	37	0	1427	55	109	68	891
26_slice002_frame000	test	scaled_masks	scaled_masks_TR	64227	0	42	0	722	27	140	42	336
26_slice010_frame022	test	scaled_masks	scaled_masks_TR	62812	0	130	0	1729	27	23	54	761
28_slice002_frame002	test	scaled_masks	scaled_masks_TR	64489	0	32	0	510	51	42	59	353
28_slice013_frame018	test	scaled_masks	scaled_masks_TR	63745	0	34	0	1041	34	68	31	583
26_slice012_frame002	test	scaled_masks	scaled_masks_TR	62950	0	111	0	1593	17	5	69	791
26_slice003_frame019	test	scaled_masks	scaled_masks_TR	63973	0	115	0	934	18	45	24	427
28_slice006_frame004	test	scaled_masks	scaled_masks_TR	63597	0	85	0	1042	16	15	133	648
26_slice008_frame004	test	scaled_masks	scaled_masks_TR	63080	0	38	0	1394	102	115	4	803
28_slice007_frame009	test	scaled_masks	scaled_masks_TR	63623	0	222	0	977	20	17	128	549
28_slice000_frame009	test	scaled_masks	scaled_masks_TR	65100	165	271	0	0	0	0	0	0
28_slice000_frame016	test	scaled_masks	scaled_masks_TR	64939	0	103	0	223	5	17	50	199
28_slice011_frame018	test	scaled_masks	scaled_masks_TR	63303	0	216	0	1488	33	0	32	464
28_slice002_frame009	test	scaled_masks	scaled_masks_TR	64600	0	62	0	208	0	22	151	493
26_slice005_frame005	test	scaled_masks	scaled_masks_TR	63632	0	6	0	995	125	140	4	634
26_slice014_frame021	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
27_slice012_frame010	test	scaled_masks	scaled_masks_TR	65536	0	0	0	0	0	0	0	0
28_slice013_frame019	test	scaled_masks	scaled_masks_TR	63789	0	18	0	1023	44	94	36	532
28_slice008_frame018	test	scaled_masks	scaled_masks_TR	63297	0	207	0	1470	72	0	75	415
26_slice003_frame015	test	scaled_masks	scaled_masks_TR	64156	0	50	0	847	23	68	25	367
26_slice003_frame009	test	scaled_masks	scaled_masks_TR	64403	0	10	0	452	71	131	29	440
27_slice004_frame018	test	scaled_masks	scaled_masks_TR	64014	0	37	0	940	95	77	20	353
