image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
19_slice003_frame019	val	scaled_masks	ukbb_preds_3class	64428	0	0	646	33	0	424	0	5
22_slice004_frame008	train	scaled_masks	ukbb_preds_3class	64662	0	0	348	0	0	526	0	0
50_slice001_frame002	train	scaled_masks	ukbb_preds_3class	65532	0	4	0	0	0	0	0	0
32_slice009_frame000	train	scaled_masks	ukbb_preds_3class	63292	0	31	844	639	14	563	21	132
32_slice013_frame011	train	scaled_masks	ukbb_preds_3class	63690	0	31	34	955	144	210	5	467
43_slice004_frame010	train	scaled_masks	ukbb_preds_3class	63942	0	30	164	690	39	321	69	281
19_slice007_frame003	val	scaled_masks	ukbb_preds_3class	63410	0	19	211	791	51	537	113	404
26_slice011_frame020	test	scaled_masks	ukbb_preds_3class	62868	0	47	552	934	203	581	7	344
55_slice010_frame023	train	scaled_masks	ukbb_preds_3class	63609	0	35	35	939	167	292	32	427
42_slice006_frame010	val	scaled_masks	ukbb_preds_3class	63147	0	23	68	1439	113	389	13	344
42_slice009_frame014	val	scaled_masks	ukbb_preds_3class	62550	0	21	745	1272	83	648	0	217
53_slice015_frame009	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
43_slice008_frame010	train	scaled_masks	ukbb_preds_3class	63239	0	92	21	1397	99	129	43	516
20_slice003_frame001	train	scaled_masks	ukbb_preds_3class	64379	0	0	638	0	0	519	0	0
26_slice012_frame020	test	scaled_masks	ukbb_preds_3class	62854	0	28	875	567	232	613	46	321
51_slice011_frame010	train	scaled_masks	ukbb_preds_3class	63912	0	38	5	694	48	202	84	553
19_slice000_frame006	val	scaled_masks	ukbb_preds_3class	65479	0	57	0	0	0	0	0	0
35_slice002_frame010	val	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
36_slice014_frame013	val	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
55_slice003_frame010	train	scaled_masks	ukbb_preds_3class	63835	0	12	614	379	45	427	38	186
43_slice010_frame003	train	scaled_masks	ukbb_preds_3class	63242	0	31	315	839	155	439	4	511
51_slice006_frame005	train	scaled_masks	ukbb_preds_3class	63989	0	45	31	752	84	251	16	368
27_slice006_frame012	test	scaled_masks	ukbb_preds_3class	63578	1	83	0	1239	107	68	23	437
52_slice012_frame002	train	scaled_masks	ukbb_preds_3class	63216	0	54	0	1321	159	126	10	650
31_slice010_frame016	train	scaled_masks	ukbb_preds_3class	63571	0	74	672	303	376	411	3	126
35_slice010_frame006	val	scaled_masks	ukbb_preds_3class	63779	0	59	0	818	115	147	6	612
36_slice006_frame023	val	scaled_masks	ukbb_preds_3class	63703	0	73	0	1086	125	125	22	402
52_slice013_frame011	train	scaled_masks	ukbb_preds_3class	63713	0	109	1003	57	0	414	34	206
50_slice000_frame004	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
50_slice012_frame011	train	scaled_masks	ukbb_preds_3class	63885	0	45	0	568	121	102	13	802
23_slice007_frame003	train	scaled_masks	ukbb_preds_3class	63670	0	45	78	928	158	195	7	455
35_slice013_frame012	val	scaled_masks	ukbb_preds_3class	64115	0	86	315	417	42	260	33	268
28_slice014_frame016	test	scaled_masks	ukbb_preds_3class	65198	186	152	0	0	0	0	0	0
53_slice013_frame013	train	scaled_masks	ukbb_preds_3class	63562	0	0	1048	0	0	926	0	0
50_slice013_frame020	train	scaled_masks	ukbb_preds_3class	63502	0	102	0	1056	134	34	4	704
50_slice005_frame016	train	scaled_masks	ukbb_preds_3class	64247	0	53	0	647	50	59	2	478
42_slice015_frame002	val	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
43_slice013_frame004	train	scaled_masks	ukbb_preds_3class	63472	0	106	0	878	125	51	24	880
53_slice003_frame015	train	scaled_masks	ukbb_preds_3class	63966	0	26	369	590	41	280	27	237
21_slice012_frame014	train	scaled_masks	ukbb_preds_3class	63552	0	53	0	1131	95	59	13	633
51_slice000_frame016	train	scaled_masks	ukbb_preds_3class	65157	0	0	158	0	0	221	0	0
44_slice013_frame009	train	scaled_masks	ukbb_preds_3class	64702	493	341	0	0	0	0	0	0
55_slice016_frame001	train	scaled_masks	ukbb_preds_3class	65403	105	28	0	0	0	0	0	0
17_slice009_frame002	train	scaled_masks	ukbb_preds_3class	63337	0	81	28	1177	213	258	21	421
55_slice010_frame004	train	scaled_masks	ukbb_preds_3class	64129	0	15	588	192	3	413	25	171
50_slice016_frame016	train	scaled_masks	ukbb_preds_3class	63957	0	98	105	759	77	183	29	328
36_slice003_frame010	val	scaled_masks	ukbb_preds_3class	64516	0	0	414	22	7	484	1	92
30_slice012_frame006	val	scaled_masks	ukbb_preds_3class	64008	0	13	741	56	144	483	11	80
36_slice009_frame024	val	scaled_masks	ukbb_preds_3class	63624	0	83	0	1229	40	5	20	535
44_slice015_frame015	train	scaled_masks	ukbb_preds_3class	65451	0	85	0	0	0	0	0	0
43_slice008_frame000	train	scaled_masks	ukbb_preds_3class	63033	0	22	253	1228	94	463	2	441
26_slice012_frame007	test	scaled_masks	ukbb_preds_3class	63508	0	27	1060	236	271	379	0	55
19_slice011_frame000	val	scaled_masks	ukbb_preds_3class	62679	0	53	500	1261	36	594	64	349
20_slice006_frame014	train	scaled_masks	ukbb_preds_3class	63797	0	90	22	1057	44	73	27	426
51_slice004_frame023	train	scaled_masks	ukbb_preds_3class	64171	0	55	91	742	27	233	18	199
19_slice011_frame010	val	scaled_masks	ukbb_preds_3class	62846	0	60	348	1062	131	692	33	364
53_slice000_frame016	train	scaled_masks	ukbb_preds_3class	64723	0	0	541	0	0	272	0	0
36_slice010_frame006	val	scaled_masks	ukbb_preds_3class	63997	0	70	0	732	70	100	34	533
36_slice012_frame016	val	scaled_masks	ukbb_preds_3class	64133	0	28	0	797	20	70	13	475
30_slice000_frame023	val	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
36_slice004_frame011	val	scaled_masks	ukbb_preds_3class	64453	0	12	304	127	37	365	7	231
52_slice001_frame014	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
23_slice013_frame010	train	scaled_masks	ukbb_preds_3class	63545	0	34	74	1049	69	225	19	521
31_slice003_frame019	train	scaled_masks	ukbb_preds_3class	64769	0	25	457	17	33	194	0	41
20_slice008_frame008	train	scaled_masks	ukbb_preds_3class	63856	0	0	561	169	44	656	7	243
36_slice014_frame002	val	scaled_masks	ukbb_preds_3class	65498	7	31	0	0	0	0	0	0
19_slice000_frame005	val	scaled_masks	ukbb_preds_3class	65533	0	3	0	0	0	0	0	0
31_slice008_frame018	train	scaled_masks	ukbb_preds_3class	63690	0	29	940	350	74	376	0	77
26_slice001_frame003	test	scaled_masks	ukbb_preds_3class	64664	0	3	430	59	57	239	1	83
50_slice008_frame004	train	scaled_masks	ukbb_preds_3class	63832	0	23	85	561	75	445	5	510
17_slice014_frame002	train	scaled_masks	ukbb_preds_3class	65524	0	12	0	0	0	0	0	0
28_slice006_frame000	test	scaled_masks	ukbb_preds_3class	63567	0	93	259	963	14	217	87	336
31_slice002_frame014	train	scaled_masks	ukbb_preds_3class	64930	0	21	285	100	23	145	0	32
31_slice001_frame009	train	scaled_masks	ukbb_preds_3class	65199	0	0	105	0	0	232	0	0
35_slice015_frame006	val	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
51_slice014_frame020	train	scaled_masks	ukbb_preds_3class	65530	0	6	0	0	0	0	0	0
28_slice014_frame019	test	scaled_masks	ukbb_preds_3class	64640	618	278	0	0	0	0	0	0
28_slice001_frame014	test	scaled_masks	ukbb_preds_3class	64864	0	0	464	0	0	208	0	0
32_slice011_frame007	train	scaled_masks	ukbb_preds_3class	63904	0	126	0	626	87	72	29	692
50_slice014_frame003	train	scaled_masks	ukbb_preds_3class	63779	0	56	4	748	118	213	54	564
44_slice007_frame019	train	scaled_masks	ukbb_preds_3class	63644	0	19	0	1113	94	140	30	496
17_slice002_frame004	train	scaled_masks	ukbb_preds_3class	64587	0	0	418	0	0	531	0	0
23_slice003_frame008	train	scaled_masks	ukbb_preds_3class	64809	0	0	364	0	0	363	0	0
20_slice012_frame019	train	scaled_masks	ukbb_preds_3class	63515	0	75	1	1230	112	69	3	531
31_slice014_frame005	train	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
23_slice010_frame004	train	scaled_masks	ukbb_preds_3class	63547	0	96	0	1037	48	62	35	711
51_slice007_frame013	train	scaled_masks	ukbb_preds_3class	63935	0	78	0	812	94	169	3	445
22_slice012_frame005	train	scaled_masks	ukbb_preds_3class	63904	0	68	0	866	58	30	40	570
