image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
21_slice013_frame010	train	scaled_masks	ukbb_preds_3class	63705	0	57	2	930	76	185	7	574
43_slice005_frame008	train	scaled_masks	ukbb_preds_3class	63909	0	13	564	198	4	590	72	186
36_slice007_frame009	val	scaled_masks	ukbb_preds_3class	64069	0	62	0	648	83	71	15	588
35_slice014_frame022	val	scaled_masks	ukbb_preds_3class	63541	8	190	367	791	125	314	33	167
23_slice002_frame008	train	scaled_masks	ukbb_preds_3class	65015	0	0	234	0	0	287	0	0
36_slice003_frame021	val	scaled_masks	ukbb_preds_3class	64484	0	7	577	92	12	237	16	111
55_slice008_frame019	train	scaled_masks	ukbb_preds_3class	63529	0	46	0	1050	86	93	22	710
19_slice011_frame016	val	scaled_masks	ukbb_preds_3class	62811	0	111	125	1432	82	459	37	479
53_slice013_frame000	train	scaled_masks	ukbb_preds_3class	62995	0	53	804	419	301	778	14	172
32_slice011_frame013	train	scaled_masks	ukbb_preds_3class	63339	0	67	8	1313	129	134	1	545
20_slice009_frame019	train	scaled_masks	ukbb_preds_3class	63378	0	22	30	1294	103	222	4	483
51_slice011_frame021	train	scaled_masks	ukbb_preds_3class	63501	0	63	11	1116	162	139	9	535
32_slice011_frame008	train	scaled_masks	ukbb_preds_3class	63958	0	140	0	609	72	108	31	618
43_slice002_frame005	train	scaled_masks	ukbb_preds_3class	64679	0	0	276	0	0	581	0	0
36_slice000_frame007	val	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
21_slice012_frame011	train	scaled_masks	ukbb_preds_3class	63591	0	56	0	1025	73	101	32	658
19_slice014_frame005	val	scaled_masks	ukbb_preds_3class	65520	0	16	0	0	0	0	0	0
30_slice001_frame012	val	scaled_masks	ukbb_preds_3class	65035	0	0	222	0	0	279	0	0
43_slice010_frame012	train	scaled_masks	ukbb_preds_3class	63012	0	4	561	1045	110	449	7	348
26_slice007_frame015	test	scaled_masks	ukbb_preds_3class	63281	1	21	80	1339	148	271	42	353
30_slice007_frame012	val	scaled_masks	ukbb_preds_3class	64005	0	2	254	538	58	337	17	325
17_slice006_frame009	train	scaled_masks	ukbb_preds_3class	64007	0	35	230	532	33	289	41	369
27_slice002_frame007	test	scaled_masks	ukbb_preds_3class	64692	0	0	102	88	17	545	8	84
19_slice002_frame003	val	scaled_masks	ukbb_preds_3class	64730	0	15	386	0	0	405	0	0
52_slice002_frame023	train	scaled_masks	ukbb_preds_3class	64700	5	1	459	5	0	316	2	48
52_slice010_frame005	train	scaled_masks	ukbb_preds_3class	63312	0	46	0	1125	132	73	1	847
36_slice009_frame009	val	scaled_masks	ukbb_preds_3class	63983	24	114	0	688	102	52	8	565
31_slice009_frame002	train	scaled_masks	ukbb_preds_3class	63596	0	50	428	471	178	491	4	318
28_slice012_frame006	test	scaled_masks	ukbb_preds_3class	64575	706	255	0	0	0	0	0	0
55_slice006_frame007	train	scaled_masks	ukbb_preds_3class	63822	0	33	2	666	122	270	2	619
17_slice001_frame010	train	scaled_masks	ukbb_preds_3class	64962	0	0	174	0	0	400	0	0
26_slice008_frame024	test	scaled_masks	ukbb_preds_3class	62878	0	22	509	1150	91	561	36	289
28_slice004_frame002	test	scaled_masks	ukbb_preds_3class	63981	0	20	397	561	63	345	28	141
21_slice010_frame007	train	scaled_masks	ukbb_preds_3class	63820	0	36	0	747	16	88	27	802
19_slice000_frame014	val	scaled_masks	ukbb_preds_3class	65479	0	57	0	0	0	0	0	0
50_slice010_frame021	train	scaled_masks	ukbb_preds_3class	63588	0	84	0	1033	77	41	28	685
27_slice013_frame002	test	scaled_masks	ukbb_preds_3class	65536	0	0	0	0	0	0	0	0
30_slice007_frame005	val	scaled_masks	ukbb_preds_3class	63984	0	24	290	463	11	357	31	376
35_slice015_frame015	val	scaled_masks	ukbb_preds_3class	65272	62	202	0	0	0	0	0	0
30_slice009_frame011	val	scaled_masks	ukbb_preds_3class	63714	0	23	810	179	139	564	1	106
30_slice002_frame008	val	scaled_masks	ukbb_preds_3class	64932	0	0	313	0	0	291	0	0
23_slice003_frame002	train	scaled_masks	ukbb_preds_3class	64571	0	0	593	0	0	372	0	0
50_slice007_frame007	train	scaled_masks	ukbb_preds_3class	64142	0	0	334	0	0	1060	0	0
