image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
30_slice006_frame024	val	scaled_masks	plainLearn	63972	0	19	0	914	127	82	9	413
35_slice004_frame000	val	scaled_masks	plainLearn	64370	0	137	0	584	3	4	94	344
26_slice001_frame011	test	scaled_masks	plainLearn	64841	0	191	0	156	3	1	29	315
44_slice002_frame017	train	scaled_masks	plainLearn	64773	0	45	0	386	15	13	29	275
27_slice008_frame019	test	scaled_masks	plainLearn	63159	0	10	0	1549	19	66	71	662
52_slice007_frame019	train	scaled_masks	plainLearn	63231	0	74	0	1514	56	45	28	588
32_slice013_frame013	train	scaled_masks	plainLearn	63590	0	110	0	1144	3	9	78	602
22_slice003_frame023	train	scaled_masks	plainLearn	64585	0	76	0	531	24	15	19	286
19_slice004_frame016	val	scaled_masks	plainLearn	64023	0	66	0	790	34	29	43	551
31_slice012_frame009	train	scaled_masks	plainLearn	63983	0	0	934	18	24	521	0	56
27_slice007_frame015	test	scaled_masks	plainLearn	63384	0	135	0	1445	36	7	54	475
23_slice002_frame011	train	scaled_masks	plainLearn	64925	0	28	1	305	52	69	8	148
52_slice013_frame020	train	scaled_masks	plainLearn	63275	0	40	0	1390	23	58	61	689
43_slice014_frame018	train	scaled_masks	plainLearn	62893	0	126	0	1609	6	59	62	781
44_slice006_frame011	train	scaled_masks	plainLearn	63881	0	37	0	1029	64	16	23	486
21_slice008_frame007	train	scaled_masks	plainLearn	63910	0	22	0	774	31	42	21	736
42_slice009_frame005	val	scaled_masks	plainLearn	63086	0	59	0	1149	33	40	56	1113
27_slice000_frame015	test	scaled_masks	plainLearn	65009	0	0	213	35	45	186	1	47
44_slice011_frame001	train	scaled_masks	plainLearn	63694	0	38	0	1153	154	33	7	457
20_slice011_frame019	train	scaled_masks	plainLearn	63414	0	123	0	1348	6	9	64	572
21_slice014_frame007	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
35_slice003_frame006	val	scaled_masks	plainLearn	64692	0	173	0	159	2	14	235	261
55_slice006_frame000	train	scaled_masks	plainLearn	63382	0	83	0	1319	3	28	61	660
43_slice017_frame005	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
20_slice008_frame022	train	scaled_masks	plainLearn	63436	0	82	0	1380	25	27	43	543
32_slice001_frame012	train	scaled_masks	plainLearn	64866	0	126	0	309	42	6	28	159
21_slice016_frame017	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
28_slice014_frame015	test	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
23_slice016_frame009	train	scaled_masks	plainLearn	65536	0	0	0	0	0	0	0	0
44_slice005_frame000	train	scaled_masks	plainLearn	63894	0	34	0	898	7	58	108	537
52_slice013_frame005	train	scaled_masks	plainLearn	63539	0	97	0	1038	70	201	66	525
53_slice009_frame010	train	scaled_masks	plainLearn	63475	0	55	0	1098	33	44	39	792
