image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
28_slice001_frame017	test	scaled_masks_TR	doubleTransferLearn	64647	0	4	0	372	67	125	37	284
28_slice004_frame010	test	scaled_masks_TR	doubleTransferLearn	64105	0	8	0	779	2	92	50	500
26_slice009_frame019	test	scaled_masks_TR	doubleTransferLearn	62912	0	128	0	1613	18	74	67	724
28_slice006_frame002	test	scaled_masks_TR	doubleTransferLearn	63499	0	40	0	1282	80	26	18	591
26_slice008_frame016	test	scaled_masks_TR	doubleTransferLearn	63081	0	64	0	1573	13	29	45	731
26_slice005_frame000	test	scaled_masks_TR	doubleTransferLearn	63415	0	48	0	1425	1	24	53	570
28_slice000_frame015	test	scaled_masks_TR	doubleTransferLearn	64969	0	42	0	240	55	55	0	175
26_slice007_frame024	test	scaled_masks_TR	doubleTransferLearn	63010	0	11	0	1675	11	69	49	711
27_slice000_frame003	test	scaled_masks_TR	doubleTransferLearn	65053	0	27	1	101	96	122	0	136
26_slice014_frame001	test	scaled_masks_TR	doubleTransferLearn	64827	440	269	0	0	0	0	0	0
26_slice013_frame009	test	scaled_masks_TR	doubleTransferLearn	63841	0	0	1100	0	0	595	0	0
27_slice006_frame001	test	scaled_masks_TR	doubleTransferLearn	63558	0	14	0	1193	159	131	1	480
28_slice004_frame002	test	scaled_masks_TR	doubleTransferLearn	63935	0	37	0	918	21	45	24	556
28_slice007_frame001	test	scaled_masks_TR	doubleTransferLearn	63347	0	34	0	1424	34	45	18	634
26_slice004_frame020	test	scaled_masks_TR	doubleTransferLearn	63825	0	55	0	1033	24	52	73	474
26_slice007_frame014	test	scaled_masks_TR	doubleTransferLearn	63314	0	103	0	1296	0	20	150	653
28_slice008_frame000	test	scaled_masks_TR	doubleTransferLearn	63181	0	39	0	1508	65	71	30	642
27_slice009_frame011	test	scaled_masks_TR	doubleTransferLearn	63400	0	23	0	1316	16	41	71	669
26_slice011_frame015	test	scaled_masks_TR	doubleTransferLearn	62911	0	53	0	1572	50	101	11	838
26_slice004_frame024	test	scaled_masks_TR	doubleTransferLearn	63808	0	23	0	1127	25	32	28	493
26_slice013_frame013	test	scaled_masks_TR	doubleTransferLearn	63182	0	67	0	1308	86	47	39	807
26_slice008_frame020	test	scaled_masks_TR	doubleTransferLearn	63006	0	76	0	1594	2	31	82	745
27_slice003_frame015	test	scaled_masks_TR	doubleTransferLearn	64253	0	6	0	761	36	112	18	350
28_slice007_frame013	test	scaled_masks_TR	doubleTransferLearn	63367	0	7	0	1396	58	126	15	567
28_slice009_frame003	test	scaled_masks_TR	doubleTransferLearn	63490	0	4	0	1217	41	76	20	688
26_slice004_frame010	test	scaled_masks_TR	doubleTransferLearn	64192	0	57	0	608	14	12	22	631
26_slice010_frame013	test	scaled_masks_TR	doubleTransferLearn	63300	0	48	0	1180	9	26	44	929
