image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
23_slice006_frame010	train	scaled_masks	doubleTransferLearn	63921	0	79	0	954	12	9	39	522
17_slice012_frame017	train	scaled_masks	doubleTransferLearn	63750	0	86	0	1090	10	4	34	562
52_slice010_frame007	train	scaled_masks	doubleTransferLearn	63551	0	84	0	975	10	11	42	863
30_slice010_frame024	val	scaled_masks	doubleTransferLearn	63412	0	25	0	1385	25	50	24	615
44_slice014_frame001	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
42_slice005_frame000	val	scaled_masks	doubleTransferLearn	63360	0	22	0	1238	143	171	3	599
31_slice002_frame013	train	scaled_masks	doubleTransferLearn	64915	0	32	0	377	13	5	26	168
31_slice014_frame011	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
32_slice001_frame005	train	scaled_masks	doubleTransferLearn	65133	0	14	0	70	21	51	18	229
17_slice002_frame001	train	scaled_masks	doubleTransferLearn	64467	0	54	0	541	20	28	28	398
53_slice002_frame021	train	scaled_masks	doubleTransferLearn	64156	0	77	0	767	14	6	45	471
53_slice004_frame012	train	scaled_masks	doubleTransferLearn	63881	0	58	0	944	32	25	17	579
35_slice007_frame015	val	scaled_masks	doubleTransferLearn	63934	0	143	0	948	102	0	13	396
36_slice011_frame006	val	scaled_masks	doubleTransferLearn	64150	0	65	0	810	20	63	20	408
50_slice016_frame007	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
30_slice006_frame016	val	scaled_masks	doubleTransferLearn	63947	0	1	2	816	267	235	5	263
22_slice011_frame001	train	scaled_masks	doubleTransferLearn	63534	0	53	0	1327	3	20	55	544
36_slice000_frame016	val	scaled_masks	doubleTransferLearn	64985	0	42	0	235	17	47	17	193
26_slice000_frame022	test	scaled_masks	doubleTransferLearn	65528	0	8	0	0	0	0	0	0
32_slice006_frame007	train	scaled_masks	doubleTransferLearn	64011	0	44	0	741	30	19	7	684
23_slice014_frame015	train	scaled_masks	doubleTransferLearn	63704	0	104	0	1114	10	18	53	533
32_slice009_frame006	train	scaled_masks	doubleTransferLearn	63839	0	56	0	810	17	14	49	751
22_slice008_frame011	train	scaled_masks	doubleTransferLearn	64021	0	27	0	899	3	37	46	503
28_slice001_frame006	test	scaled_masks	doubleTransferLearn	64839	0	44	0	221	7	38	34	353
31_slice007_frame010	train	scaled_masks	doubleTransferLearn	63951	0	100	0	856	1	4	163	461
19_slice003_frame008	val	scaled_masks	doubleTransferLearn	64525	0	50	0	301	0	17	97	546
43_slice009_frame004	train	scaled_masks	doubleTransferLearn	63390	0	36	0	1038	38	26	42	966
53_slice011_frame008	train	scaled_masks	doubleTransferLearn	63522	0	79	0	911	0	12	59	953
53_slice006_frame005	train	scaled_masks	doubleTransferLearn	63582	0	91	0	1000	4	1	55	803
53_slice011_frame020	train	scaled_masks	doubleTransferLearn	63132	0	59	0	1479	30	27	46	763
26_slice002_frame001	test	scaled_masks	doubleTransferLearn	64244	0	8	0	759	10	77	25	413
27_slice010_frame017	test	scaled_masks	doubleTransferLearn	63257	0	76	0	1502	14	14	54	619
23_slice012_frame014	train	scaled_masks	doubleTransferLearn	63265	0	38	0	1464	13	37	42	677
31_slice006_frame006	train	scaled_masks	doubleTransferLearn	64213	0	17	0	626	29	33	40	578
53_slice014_frame020	train	scaled_masks	doubleTransferLearn	63242	0	135	0	1384	19	3	32	721
19_slice009_frame015	val	scaled_masks	doubleTransferLearn	62917	0	61	0	1537	6	54	76	885
50_slice003_frame011	train	scaled_masks	doubleTransferLearn	64933	0	1	0	0	0	49	0	553
55_slice001_frame023	train	scaled_masks	doubleTransferLearn	64336	0	49	0	617	7	11	27	489
17_slice010_frame018	train	scaled_masks	doubleTransferLearn	63499	0	43	0	1315	43	44	30	562
43_slice005_frame010	train	scaled_masks	doubleTransferLearn	63796	0	60	0	1058	4	22	51	545
35_slice007_frame016	val	scaled_masks	doubleTransferLearn	63908	0	158	0	977	51	0	28	414
32_slice013_frame017	train	scaled_masks	doubleTransferLearn	63528	0	76	0	1226	19	1	37	649
20_slice004_frame002	train	scaled_masks	doubleTransferLearn	64270	0	97	0	537	9	9	36	578
27_slice012_frame009	test	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
52_slice005_frame009	train	scaled_masks	doubleTransferLearn	64042	0	10	0	534	93	75	10	772
30_slice012_frame007	val	scaled_masks	doubleTransferLearn	63942	0	12	0	740	161	214	43	424
44_slice008_frame001	train	scaled_masks	doubleTransferLearn	63629	0	20	0	1195	20	27	41	604
36_slice009_frame013	val	scaled_masks	doubleTransferLearn	63938	0	54	0	862	21	56	60	545
28_slice007_frame003	test	scaled_masks	doubleTransferLearn	63619	0	80	0	1116	13	10	54	644
55_slice006_frame006	train	scaled_masks	doubleTransferLearn	63797	0	71	0	763	2	7	51	845
43_slice012_frame002	train	scaled_masks	doubleTransferLearn	63062	0	66	0	1077	9	59	161	1102
31_slice010_frame008	train	scaled_masks	doubleTransferLearn	63840	0	33	0	724	38	101	56	744
52_slice008_frame009	train	scaled_masks	doubleTransferLearn	63500	0	31	0	1021	44	30	2	908
55_slice013_frame019	train	scaled_masks	doubleTransferLearn	65536	0	0	0	0	0	0	0	0
19_slice014_frame019	val	scaled_masks	doubleTransferLearn	63002	0	24	0	1362	101	242	51	754
