image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
28_slice005_frame005	test	scaled_masks	baseModel	64014	0	39	0	632	163	176	4	508
42_slice003_frame005	val	scaled_masks	baseModel	64268	0	27	0	415	55	183	43	545
51_slice001_frame019	train	scaled_masks	baseModel	64955	0	8	0	286	49	44	1	193
31_slice011_frame009	train	scaled_masks	baseModel	63412	386	40	399	334	91	588	1	285
53_slice009_frame023	train	scaled_masks	baseModel	63103	0	5	0	1559	130	164	4	571
19_slice012_frame016	val	scaled_masks	baseModel	62873	0	72	182	1185	208	373	13	630
26_slice004_frame022	test	scaled_masks	baseModel	63812	0	30	0	990	150	118	10	426
20_slice009_frame011	train	scaled_masks	baseModel	63668	0	45	0	1015	100	164	22	522
30_slice006_frame005	val	scaled_masks	baseModel	64040	0	58	0	780	160	113	21	364
52_slice001_frame009	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
19_slice015_frame013	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
35_slice012_frame015	val	scaled_masks	baseModel	63681	0	15	10	889	312	157	0	472
53_slice003_frame000	train	scaled_masks	baseModel	63888	0	10	0	856	103	142	2	535
43_slice013_frame003	train	scaled_masks	baseModel	63388	0	13	0	917	229	185	10	794
52_slice004_frame019	train	scaled_masks	baseModel	64064	0	35	0	741	136	124	1	435
42_slice005_frame016	val	scaled_masks	baseModel	63383	0	0	17	1005	302	622	0	207
35_slice006_frame017	val	scaled_masks	baseModel	64191	0	6	0	771	174	70	0	324
42_slice002_frame002	val	scaled_masks	baseModel	64293	0	22	3	231	0	541	192	254
53_slice003_frame002	train	scaled_masks	baseModel	63915	0	21	0	784	121	88	2	605
42_slice003_frame017	val	scaled_masks	baseModel	64065	0	0	648	109	4	657	0	53
44_slice004_frame014	train	scaled_masks	baseModel	64247	0	30	0	679	162	75	0	343
26_slice005_frame016	test	scaled_masks	baseModel	63386	26	152	0	1254	67	71	87	493
30_slice014_frame012	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
50_slice004_frame016	train	scaled_masks	baseModel	64473	0	0	0	501	39	119	10	394
42_slice010_frame005	val	scaled_masks	baseModel	63053	0	26	0	1082	56	193	26	1100
26_slice002_frame017	test	scaled_masks	baseModel	64260	5	69	0	691	156	100	2	253
21_slice012_frame002	train	scaled_masks	baseModel	63778	0	14	0	744	236	145	12	607
27_slice002_frame007	test	scaled_masks	baseModel	64688	0	4	0	176	31	237	15	385
32_slice012_frame000	train	scaled_masks	baseModel	63362	0	78	1	1240	240	132	0	483
27_slice008_frame014	test	scaled_masks	baseModel	63364	0	23	0	1390	150	87	6	516
51_slice010_frame013	train	scaled_masks	baseModel	63747	0	3	58	755	238	285	0	450
36_slice010_frame012	val	scaled_masks	baseModel	64219	0	2	0	610	80	94	6	525
50_slice013_frame009	train	scaled_masks	baseModel	64068	0	35	0	456	45	62	12	858
17_slice005_frame021	train	scaled_masks	baseModel	63867	0	11	0	954	81	97	0	526
44_slice000_frame009	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
42_slice014_frame019	val	scaled_masks	baseModel	62484	0	9	1283	413	118	898	5	326
43_slice003_frame006	train	scaled_masks	baseModel	64605	0	36	13	266	30	148	6	432
36_slice005_frame014	val	scaled_masks	baseModel	64329	0	2	0	652	113	126	0	314
22_slice014_frame005	train	scaled_masks	baseModel	64219	0	0	620	25	280	285	0	107
19_slice013_frame013	val	scaled_masks	baseModel	62941	0	18	459	769	262	582	12	493
43_slice008_frame019	train	scaled_masks	baseModel	63094	0	5	0	1515	126	129	14	653
51_slice001_frame003	train	scaled_masks	baseModel	64900	0	53	0	261	25	38	10	249
21_slice011_frame017	train	scaled_masks	baseModel	63508	0	11	0	1143	111	113	0	650
32_slice005_frame017	train	scaled_masks	baseModel	63973	0	0	142	771	102	312	0	236
19_slice014_frame013	val	scaled_masks	baseModel	63152	0	0	714	343	317	804	6	200
42_slice009_frame000	val	scaled_masks	baseModel	62466	0	6	0	1832	223	336	0	673
36_slice003_frame019	val	scaled_masks	baseModel	64465	0	63	0	605	56	52	19	276
42_slice012_frame004	val	scaled_masks	baseModel	63166	0	4	109	637	467	505	9	639
20_slice012_frame001	train	scaled_masks	baseModel	63792	0	18	2	1036	148	42	0	498
35_slice011_frame006	val	scaled_masks	baseModel	63789	0	4	0	769	87	133	9	745
17_slice010_frame001	train	scaled_masks	baseModel	63426	0	28	0	1191	259	104	2	526
43_slice005_frame008	train	scaled_masks	baseModel	63917	0	5	0	727	39	310	83	455
51_slice014_frame008	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
51_slice006_frame018	train	scaled_masks	baseModel	63886	0	9	0	966	77	108	5	485
50_slice013_frame008	train	scaled_masks	baseModel	64092	0	34	0	440	44	105	12	809
26_slice000_frame024	test	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
30_slice000_frame006	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
53_slice006_frame011	train	scaled_masks	baseModel	63674	0	25	0	906	122	263	7	539
43_slice003_frame018	train	scaled_masks	baseModel	64273	0	12	0	480	153	221	8	389
43_slice012_frame015	train	scaled_masks	baseModel	62831	0	0	0	1548	140	227	0	790
27_slice008_frame001	test	scaled_masks	baseModel	63202	0	9	0	1433	149	172	7	564
20_slice003_frame000	train	scaled_masks	baseModel	64358	0	0	385	211	36	487	0	59
31_slice010_frame005	train	scaled_masks	baseModel	63799	0	6	0	640	220	213	0	658
52_slice011_frame003	train	scaled_masks	baseModel	63329	0	6	0	1298	115	97	11	680
26_slice012_frame023	test	scaled_masks	baseModel	62837	0	37	10	1480	306	244	39	583
42_slice004_frame012	val	scaled_masks	baseModel	63702	0	0	13	1043	102	274	11	391
26_slice002_frame005	test	scaled_masks	baseModel	64469	0	125	0	547	54	3	7	331
21_slice000_frame010	train	scaled_masks	baseModel	65165	0	0	0	0	0	112	154	105
26_slice001_frame001	test	scaled_masks	baseModel	64642	0	11	0	446	23	74	23	317
31_slice006_frame017	train	scaled_masks	baseModel	63964	12	162	0	945	120	0	56	277
26_slice001_frame015	test	scaled_masks	baseModel	64607	76	161	2	349	22	3	73	243
35_slice000_frame003	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
50_slice000_frame016	train	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
32_slice012_frame013	train	scaled_masks	baseModel	63507	0	25	0	1165	156	77	6	600
22_slice004_frame021	train	scaled_masks	baseModel	64520	0	11	0	583	80	54	3	285
21_slice012_frame011	train	scaled_masks	baseModel	63642	0	5	0	1017	81	106	5	680
26_slice011_frame022	test	scaled_masks	baseModel	62850	0	30	10	1491	241	286	9	619
17_slice007_frame022	train	scaled_masks	baseModel	63599	0	26	0	1177	173	36	11	514
53_slice000_frame018	train	scaled_masks	baseModel	64677	0	34	0	436	28	94	23	244
36_slice010_frame002	val	scaled_masks	baseModel	63720	0	11	0	1071	127	142	3	462
19_slice000_frame020	val	scaled_masks	baseModel	65536	0	0	0	0	0	0	0	0
43_slice010_frame004	train	scaled_masks	baseModel	63425	0	52	0	943	115	46	0	955
42_slice011_frame018	val	scaled_masks	baseModel	62283	0	0	50	1787	234	554	4	624
52_slice010_frame015	train	scaled_masks	baseModel	63033	0	3	0	1524	153	229	24	570
21_slice001_frame004	train	scaled_masks	baseModel	65026	0	28	0	149	20	17	12	284
36_slice006_frame013	val	scaled_masks	baseModel	64038	0	6	0	707	217	182	0	386
20_slice003_frame014	train	scaled_masks	baseModel	64493	0	0	231	328	70	331	0	83
30_slice009_frame019	val	scaled_masks	baseModel	63806	0	10	8	920	265	212	0	315
