image	set	methodA	methodB	bg_bg	bg_lv	bg_my	lv_bg	lv_lv	lv_my	my_bg	my_lv	my_my
23_slice006_frame003	train	scaled_masks	doubleTransferLearn_esed	63780	0	51	0	1029	25	24	38	589
52_slice003_frame020	train	scaled_masks	doubleTransferLearn_esed	64444	0	134	0	511	17	11	66	353
22_slice014_frame010	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
50_slice015_frame014	train	scaled_masks	doubleTransferLearn_esed	63746	0	57	0	816	22	46	80	769
42_slice007_frame010	val	scaled_masks	doubleTransferLearn_esed	62898	0	45	0	1772	64	75	21	661
55_slice016_frame021	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
26_slice001_frame012	test	scaled_masks	doubleTransferLearn_esed	64910	0	95	0	182	11	1	70	267
30_slice002_frame013	val	scaled_masks	doubleTransferLearn_esed	64851	0	30	1	320	67	147	9	111
30_slice000_frame007	val	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
20_slice003_frame018	train	scaled_masks	doubleTransferLearn_esed	64413	0	72	0	527	0	24	164	336
44_slice010_frame018	train	scaled_masks	doubleTransferLearn_esed	63517	0	27	0	1401	23	46	33	489
51_slice007_frame023	train	scaled_masks	doubleTransferLearn_esed	63695	0	48	0	1251	21	26	28	467
26_slice009_frame021	test	scaled_masks	doubleTransferLearn_esed	62921	0	112	0	1678	42	37	31	715
44_slice002_frame004	train	scaled_masks	doubleTransferLearn_esed	64777	0	28	0	219	22	31	46	413
50_slice003_frame002	train	scaled_masks	doubleTransferLearn_esed	64648	0	42	0	271	39	23	13	500
50_slice001_frame013	train	scaled_masks	doubleTransferLearn_esed	65536	0	0	0	0	0	0	0	0
27_slice011_frame013	test	scaled_masks	doubleTransferLearn_esed	63447	0	45	0	1292	9	5	65	673
32_slice008_frame016	train	scaled_masks	doubleTransferLearn_esed	63413	0	29	0	1446	16	48	29	555
50_slice015_frame002	train	scaled_masks	doubleTransferLearn_esed	63648	0	8	0	962	3	162	48	705
30_slice004_frame005	val	scaled_masks	doubleTransferLearn_esed	64497	0	14	0	488	82	57	9	389
28_slice002_frame000	test	scaled_masks	doubleTransferLearn_esed	64498	0	54	0	614	49	29	8	284
55_slice003_frame014	train	scaled_masks	doubleTransferLearn_esed	63770	0	222	0	921	25	18	146	434
53_slice010_frame016	train	scaled_masks	doubleTransferLearn_esed	63208	0	99	0	1422	26	51	31	699
26_slice002_frame014	test	scaled_masks	doubleTransferLearn_esed	64492	0	142	0	565	34	7	87	209
17_slice007_frame011	train	scaled_masks	doubleTransferLearn_esed	63824	0	37	0	970	18	25	21	641
31_slice006_frame008	train	scaled_masks	doubleTransferLearn_esed	64211	0	20	0	616	11	30	30	618
36_slice013_frame015	val	scaled_masks	doubleTransferLearn_esed	64209	0	0	838	0	0	489	0	0
55_slice004_frame003	train	scaled_masks	doubleTransferLearn_esed	63745	0	117	0	1020	26	1	23	604
22_slice002_frame003	train	scaled_masks	doubleTransferLearn_esed	64800	0	69	0	309	20	29	29	280
23_slice002_frame002	train	scaled_masks	doubleTransferLearn_esed	64836	0	0	205	78	26	311	1	79
36_slice003_frame009	val	scaled_masks	doubleTransferLearn_esed	64462	0	22	0	415	63	25	7	542
50_slice011_frame024	train	scaled_masks	doubleTransferLearn_esed	63415	0	18	0	1255	12	47	17	772
27_slice007_frame005	test	scaled_masks	doubleTransferLearn_esed	63622	0	21	0	919	47	148	26	753
52_slice009_frame008	train	scaled_masks	doubleTransferLearn_esed	63483	0	41	0	945	33	18	38	978
